Year,Scenario,DomesticAbsorptionFactor,Country,EuropeanOffshoreSupply_TWh,GrossExport_TWh,GrossImport_TWh,NetExport_TWh,SupplierCarbonContribution_Mt
2030,Base absorption,1,DK,30.0257734863445,27.0152416536095,0,27.0152416536095,6.05247488066275
2030,Base absorption,1,FR,0,0,31.4500763689967,-31.4500763689967,0
2030,Base absorption,1,DE,0,0,61.6467695472276,-61.6467695472276,0
2030,Base absorption,1,IE,15.8985118092821,14.1235735287511,0,14.1235735287511,3.35210436136006
2030,Base absorption,1,NL,64.43881609095,39.40881609095,0,39.40881609095,13.1524042560848
2030,Base absorption,1,NO,0,0,5.33740580244879,-5.33740580244879,0
2030,Base absorption,1,PT,0,0,6.11,-6.11,0
2030,Base absorption,1,ES,0,0,28.2134251086186,-28.2134251086186,0
2030,Base absorption,1,SE,0,0,7.86,-7.86,0
2030,Base absorption,1,GB,103.053840808344,78.2338408083436,0,78.2338408083436,20.8998523286281
2030,Base absorption,1,ITN,0,0,0,0,0
2040,Base absorption,1,BE,0,0,50.8021433089353,-50.8021433089353,0
2040,Base absorption,1,DK,24.2564858720752,16.6439812413023,0,16.6439812413023,4.75080828577785
2040,Base absorption,1,FR,0,0,89.0452686427029,-89.0452686427029,0
2040,Base absorption,1,DE,0,0,185.249542260658,-185.249542260658,0
2040,Base absorption,1,IE,87.0931526070581,83.1317538306938,0,83.1317538306938,18.9066952299806
2040,Base absorption,1,NL,154.748497836727,91.2408682141339,6.6065269908202,84.6343412233137,31.3632039899128
2040,Base absorption,1,NO,33.6348546791471,20.10718461058,0,20.10718461058,6.59680255289485
2040,Base absorption,1,PT,0,0,17.32,-17.32,0
2040,Base absorption,1,ES,0,0,79.74,-79.74,0
2040,Base absorption,1,SE,0,0,20.6500000000001,-20.6500000000001,0
2040,Base absorption,1,GB,195.161616540512,122.081616540512,0,122.081616540512,41.5719811319544
2040,Base absorption,1,ITN,116.208076765895,116.208076765895,0,116.208076765895,26.5842508460149
2050,Base absorption,1,BE,0,0,64.4025109793701,-64.4025109793701,0
2050,Base absorption,1,DK,130.516968536747,118.468475693265,0,118.468475693265,25.4723981872665
2050,Base absorption,1,FR,0,0,118.679240759638,-118.679240759638,0
2050,Base absorption,1,DE,0,0,247.226609579815,-247.226609579815,0
2050,Base absorption,1,IE,169.753944946969,161.861398104616,0,161.861398104616,33.103896824714
2050,Base absorption,1,NL,133.65761264224,31.2376126422398,0,31.2376126422398,29.0862843364115
2050,Base absorption,1,NO,69.6705794905415,52.3425423472475,0,52.3425423472475,13.712003384755
2050,Base absorption,1,PT,0,0,23.93,-23.93,0
2050,Base absorption,1,ES,0,0,107.58,-107.58,0
2050,Base absorption,1,SE,0,0,26.46,-26.46,0
2050,Base absorption,1,GB,263.021022175418,162.141022175418,0,162.141022175418,56.9267916715193
2050,Base absorption,1,ITN,62.227310356036,62.227310356036,0,62.227310356036,17.1985678085514
2030,High absorption,1.25,BE,0,0,18.1732661204777,-18.1732661204777,0
2030,High absorption,1.25,DK,22.4701184147916,19.5776121295965,0,19.5776121295965,4.94612454824006
2030,High absorption,1.25,FR,0,0,31.4267184690248,-31.4267184690248,0
2030,High absorption,1.25,DE,0,0,61.8896086621038,-61.8896086621038,0
2030,High absorption,1.25,IE,13.4066564298198,11.6793671536252,0,11.6793671536252,2.70006339295904
2030,High absorption,1.25,NL,55.2077261355021,30.1777261355021,0,30.1777261355021,11.3246484449061
2030,High absorption,1.25,NO,0,0,5.33740580244879,-5.33740580244879,0
2030,High absorption,1.25,PT,0,0,6.11,-6.11,0
2030,High absorption,1.25,ES,0,0,28.2577155437247,-28.2577155437247,0
2030,High absorption,1.25,SE,0,0,7.86,-7.86,0
2030,High absorption,1.25,GB,122.440009179056,97.6200091790561,0,97.6200091790561,24.5372252445631
2030,High absorption,1.25,ITN,0,0,0,0,0
2040,High absorption,1.25,BE,0,0,50.6908135094112,-50.6908135094112,0
2040,High absorption,1.25,DK,18.4517124886899,10.9294407626817,0,10.9294407626817,3.61932927101096
2040,High absorption,1.25,FR,0,0,88.9442866331536,-88.9442866331536,0
2040,High absorption,1.25,DE,0,0,183.805795817902,-183.805795817902,0
2040,High absorption,1.25,IE,81.4631005158568,77.5731005158568,0,77.5731005158568,16.6548008947627
2040,High absorption,1.25,NL,132.969433300998,71.5203201862035,8.63088688520567,62.8894333009978,26.6384367405598
2040,High absorption,1.25,NO,7.73218418355318,0,5.59031088402467,-5.59031088402467,1.50869844496309
2040,High absorption,1.25,PT,0,0,17.32,-17.32,0
2040,High absorption,1.25,ES,0,0,79.74,-79.74,0
2040,High absorption,1.25,SE,0,0,20.65,-20.65,0
2040,High absorption,1.25,GB,139.192214427094,66.1122144270939,0,66.1122144270939,29.1237773823957
2040,High absorption,1.25,ITN,229.237017837861,229.237017837861,0,229.237017837861,51.8568267896395
2050,High absorption,1.25,BE,0,0,64.2632387202818,-64.2632387202818,0
2050,High absorption,1.25,DK,121.409712237833,109.502765081918,0,109.502765081918,23.6971874862198
2050,High absorption,1.25,FR,0,0,118.901603814802,-118.901603814802,0
2050,High absorption,1.25,DE,0,0,245.153201954368,-245.153201954368,0
2050,High absorption,1.25,IE,161.257829421275,154.773812519498,0,154.773812519498,32.4052239286682
2050,High absorption,1.25,NL,94.1713446281597,0,8.24865537184029,-8.24865537184029,20.5963568836077
2050,High absorption,1.25,NO,29.6336420731727,12.5257498328946,0,12.5257498328946,5.82827846691314
2050,High absorption,1.25,PT,0,0,23.93,-23.93,0
2050,High absorption,1.25,ES,0,0,107.58,-107.58,0
2050,High absorption,1.25,SE,0,0,26.46,-26.46,0
2050,High absorption,1.25,GB,164.319265440361,63.4392654403614,0,63.4392654403614,35.1982212104323
2050,High absorption,1.25,ITN,254.295106986619,254.295106986619,0,254.295106986619,57.3538699466738
