Year,Scenario,ImportCost_EURperMWh,ImportCost_EURperKgH2,Country,EuropeanOffshoreSupply_TWh,GrossExport_TWh,GrossImport_TWh,NetExport_TWh,SupplierCarbonContribution_Mt
2030,Outside option 38 EUR/MWh,38,1.266654,NO,0,0,5.23,-5.23,0
2030,Outside option 38 EUR/MWh,38,1.266654,PT,0,0,6.11,-6.11,0
2030,Outside option 38 EUR/MWh,38,1.266654,ES,0,0,27.65,-27.65,0
2030,Outside option 38 EUR/MWh,38,1.266654,SE,0,0,7.86,-7.86,0
2030,Outside option 38 EUR/MWh,38,1.266654,GB,0,0,24.82,-24.82,0
2030,Outside option 38 EUR/MWh,38,1.266654,ITN,210.39,210.39,0,210.39,43.0138238363171
2040,Outside option 38 EUR/MWh,38,1.266654,BE,0,0,49.94,-49.94,0
2040,Outside option 38 EUR/MWh,38,1.266654,DK,0,0,7.35,-7.35,0
2040,Outside option 38 EUR/MWh,38,1.266654,FR,0,0,87.09,-87.09,0
2040,Outside option 38 EUR/MWh,38,1.266654,DE,0,0,182.55,-182.55,0
2040,Outside option 38 EUR/MWh,38,1.266654,IE,0,0,3.89,-3.89,0
2040,Outside option 38 EUR/MWh,38,1.266654,NL,0,0,70.08,-70.08,0
2040,Outside option 38 EUR/MWh,38,1.266654,NO,0,0,13.21,-13.21,0
2040,Outside option 38 EUR/MWh,38,1.266654,PT,0,0,17.32,-17.32,0
2040,Outside option 38 EUR/MWh,38,1.266654,ES,0,0,79.74,-79.74,0
