Year,Scenario,ImportCost_EURperMWh,ImportCost_EURperKgH2,SolverProblemCode,EuropeanOffshoreSupply_TWh,InternationalImport_TWh,TotalCarbonReduction_Mt,EuropeanOffshoreCarbonContribution_Mt,TotalCost_BnEUR,ImportCost_BnEUR,TopGrossExporter,TopGrossExport_TWh,TopNetExporter,TopNetExport_TWh,IrelandNetExport_TWh,UKNetExport_TWh,IrelandCarbonContribution_Mt,UKCarbonContribution_Mt
2030,Outside option 3.5 EUR/kg-H2,105.0010500105,3.5,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 3.5 EUR/kg-H2,105.0010500105,3.5,0,474.469752856372,136.495900612496,129.746563110266,93.8682758631604,58.4022152669161,14.332212886441,GB,129.631616540512,GB,122.081616540512,83.0779488486374,122.081616540512,17.2196538720302,38.6420000750213
2050,Outside option 3.5 EUR/kg-H2,105.0010500105,3.5,0,708.708211632822,119.388324333969,175.49549839134,139.57054306324,78.7791373576623,12.5358994140609,GB,171.581022175418,GB,162.141022175418,157.334364353733,162.141022175418,32.2075441420391,52.0781623907328
2030,Outside option 3.6 EUR/kg-H2,108.0010800108,3.6,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 3.6 EUR/kg-H2,108.0010800108,3.6,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,58.7657340641338,12.5738865394034,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 3.6 EUR/kg-H2,108.0010800108,3.6,0,766.620127791916,62.7938870048385,175.324259766827,150.605003029894,79.0504249728066,6.7818076145987,GB,171.581022175418,GB,162.141022175418,160.72167557564,162.141022175418,32.8782317639766,52.0781623907328
2030,Outside option 3.7 EUR/kg-H2,111.0011100111,3.7,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 3.7 EUR/kg-H2,111.0011100111,3.7,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,59.1150086902283,12.9231611654979,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 3.7 EUR/kg-H2,111.0011100111,3.7,0,766.620127791916,62.7938870048385,175.324259766827,150.605003029894,79.2388085176566,6.97019115944867,GB,171.581022175418,GB,162.141022175418,160.72167557564,162.141022175418,32.8782317639766,52.0781623907328
2030,Outside option 3.8 EUR/kg-H2,114.0011400114,3.8,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 3.8 EUR/kg-H2,114.0011400114,3.8,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,59.4642833163228,13.2724357915925,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 3.8 EUR/kg-H2,114.0011400114,3.8,0,766.620127791916,62.7938870048385,175.324259766827,150.605003029894,79.4271920625065,7.15857470429863,GB,171.581022175418,GB,162.141022175418,160.721675575639,162.141022175418,32.8782317639766,52.0781623907328
2030,Outside option 3.9 EUR/kg-H2,117.0011700117,3.9,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 3.9 EUR/kg-H2,117.0011700117,3.9,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,59.8135579424174,13.621710417687,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 3.9 EUR/kg-H2,117.0011700117,3.9,0,766.620127791916,62.7938870048385,175.324259766827,150.605003029894,79.6155756073565,7.3469582491486,GB,171.581022175418,GB,162.141022175418,160.721675575639,162.141022175418,32.8782317639766,52.0781623907328
2030,Outside option 4 EUR/kg-H2,120.001200012,4,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 4 EUR/kg-H2,120.001200012,4,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,60.1628325685119,13.9709850437815,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 4 EUR/kg-H2,120.001200012,4,0,766.620127791916,62.7938870048385,175.324259766827,150.605003029894,79.8039591522065,7.53534179399856,GB,171.581022175418,GB,162.141022175418,160.72167557564,162.141022175418,32.8782317639766,52.0781623907328
2030,Outside option 4.1 EUR/kg-H2,123.0012300123,4.1,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 4.1 EUR/kg-H2,123.0012300123,4.1,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,60.5121071946064,14.3202596698761,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 4.1 EUR/kg-H2,123.0012300123,4.1,0,766.620127791916,62.7938870048385,175.324259766827,150.605003029894,79.9923426970564,7.72372533884852,GB,171.581022175418,GB,162.141022175418,160.721675575639,162.141022175418,32.8782317639766,52.0781623907328
2030,Outside option 4.2 EUR/kg-H2,126.0012600126,4.2,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 4.2 EUR/kg-H2,126.0012600126,4.2,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,60.861381820701,14.6695342959706,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 4.2 EUR/kg-H2,126.0012600126,4.2,0,766.620127791916,62.7938870048385,175.324259766827,150.605003029894,80.1807262419064,7.91210888369849,GB,171.581022175418,GB,162.141022175418,160.721675575639,162.141022175418,32.8782317639766,52.0781623907328
2030,Outside option 4.3 EUR/kg-H2,129.0012900129,4.3,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 4.3 EUR/kg-H2,129.0012900129,4.3,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,61.2106564467955,15.0188089220651,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 4.3 EUR/kg-H2,129.0012900129,4.3,0,766.620127791916,62.7938870048385,175.324259766827,150.605003029894,80.3691097867564,8.10049242854845,GB,171.581022175418,GB,162.141022175418,160.72167557564,162.141022175418,32.8782317639766,52.0781623907328
